,Unnamed: 0,year,country,suicides_no,population,"Suicide Rate per 100,000 Population",CapitalLatitude,CapitalLongitude,ContinentName
3,3,1985,Bahamas,1,21000,4.761904762,25.08333333,-77.35,North America
5,5,1985,Barbados,7,61000,11.47540984,13.1,-59.616667,North America
16,16,1985,Grenada,1,3987,25.08151492,12.05,-61.75,North America
21,21,1985,Jamaica,8,827000,0.967351874,18.0,-76.8,North America
33,33,1985,Puerto Rico,269,3082500,8.726682887,18.46666667,-66.116667,North America
42,42,1985,Trinidad and Tobago,29,707000,4.101838755,10.65,-61.516667,North America
49,49,1986,Barbados,8,90200,8.869179601,13.1,-59.616667,North America
66,66,1986,Jamaica,1,175544,0.56965775,18.0,-76.8,North America
79,79,1986,Puerto Rico,310,2809500,11.03399181,18.46666667,-66.116667,North America
80,80,1986,Saint Lucia,5,16700,29.94011976,14.0,-61.0,North America
88,88,1986,Trinidad and Tobago,104,938400,11.08269395,10.65,-61.516667,North America
95,95,1987,Bahamas,3,43600,6.880733945,25.08333333,-77.35,North America
97,97,1987,Barbados,6,104100,5.763688761,13.1,-59.616667,North America
115,115,1987,Jamaica,13,1167124,1.113849085,18.0,-76.8,North America
128,128,1987,Puerto Rico,272,2850800,9.541181423,18.46666667,-66.116667,North America
129,129,1987,Saint Lucia,11,47300,23.25581395,14.0,-61.0,North America
137,137,1987,Trinidad and Tobago,119,1066000,11.16322702,10.65,-61.516667,North America
147,147,1988,Barbados,12,101700,11.79941003,13.1,-59.616667,North America
159,159,1988,Grenada,4,30300,13.20132013,12.05,-61.75,North America
166,166,1988,Jamaica,5,663991,0.753022255,18.0,-76.8,North America
177,177,1988,Puerto Rico,314,3175100,9.889452301,18.46666667,-66.116667,North America
178,178,1988,Saint Lucia,10,60700,16.47446458,14.0,-61.0,North America
184,184,1988,Trinidad and Tobago,164,961100,17.06378108,10.65,-61.516667,North America
193,193,1989,Barbados,16,133000,12.03007519,13.1,-59.616667,North America
206,206,1989,Grenada,4,18487,21.63682588,12.05,-61.75,North America
224,224,1989,Puerto Rico,327,3283800,9.957975516,18.46666667,-66.116667,North America
227,227,1989,Saint Lucia,8,71640,11.16694584,14.0,-61.0,North America
233,233,1989,Trinidad and Tobago,173,1070000,16.1682243,10.65,-61.516667,North America
239,239,1990,Antigua and Barbuda,1,5799,17.24435247,17.11666667,-61.85,North America
245,245,1990,Barbados,16,137000,11.67883212,13.1,-59.616667,North America
263,263,1990,Grenada,2,17800,11.23595506,12.05,-61.75,North America
270,270,1990,Jamaica,3,442684,0.677684308,18.0,-76.8,North America
284,284,1990,Puerto Rico,371,3134000,11.83790683,18.46666667,-66.116667,North America
287,287,1990,Saint Lucia,3,34055,8.809279107,14.0,-61.0,North America
295,295,1990,Trinidad and Tobago,170,1088500,15.61782269,10.65,-61.516667,North America
307,307,1991,Barbados,17,128000,13.28125,13.1,-59.616667,North America
332,332,1991,Jamaica,1,111020,0.900738606,18.0,-76.8,North America
347,347,1991,Puerto Rico,355,2917200,12.16920335,18.46666667,-66.116667,North America
350,350,1991,Saint Lucia,6,36703,16.34743754,14.0,-61.0,North America
357,357,1991,Trinidad and Tobago,148,1092000,13.55311355,10.65,-61.516667,North America
368,368,1992,Barbados,14,136000,10.29411765,13.1,-59.616667,North America
377,377,1992,Cuba,2299,9915600,23.1856872,23.11666667,-82.35,North America
407,407,1992,Puerto Rico,314,2648100,11.85755825,18.46666667,-66.116667,North America
410,410,1992,Saint Lucia,11,31900,34.48275862,14.0,-61.0,North America
418,418,1992,Trinidad and Tobago,163,1116900,14.59396544,10.65,-61.516667,North America
424,424,1993,Antigua and Barbuda,1,6668,14.9970006,17.11666667,-61.85,North America
430,430,1993,Bahamas,7,101000,6.930693069,25.08333333,-77.35,North America
431,431,1993,Barbados,16,112600,14.20959147,13.1,-59.616667,North America
441,441,1993,Cuba,2374,10004200,23.73003339,23.11666667,-82.35,North America
449,449,1993,Grenada,3,20402,14.70444074,12.05,-61.75,North America
472,472,1993,Puerto Rico,345,2903836,11.88083625,18.46666667,-66.116667,North America
475,475,1993,Saint Lucia,8,29631,26.99875131,14.0,-61.0,North America
481,481,1993,Trinidad and Tobago,174,977200,17.80597626,10.65,-61.516667,North America
493,493,1994,Bahamas,3,28300,10.60070671,25.08333333,-77.35,North America
494,494,1994,Barbados,14,158500,8.832807571,13.1,-59.616667,North America
504,504,1994,Cuba,2278,10089300,22.57837511,23.11666667,-82.35,North America
513,513,1994,Grenada,4,12273,32.59186833,12.05,-61.75,North America
537,537,1994,Puerto Rico,355,3036672,11.69042952,18.46666667,-66.116667,North America
540,540,1994,Saint Lucia,6,39428,15.21761185,14.0,-61.0,North America
547,547,1994,Trinidad and Tobago,148,1014800,14.58415451,10.65,-61.516667,North America
557,557,1995,Aruba,8,24862,32.17762046,12.51666667,-70.033333,North America
561,561,1995,Bahamas,2,56100,3.565062389,25.08333333,-77.35,North America
562,562,1995,Barbados,17,162000,10.49382716,13.1,-59.616667,North America
573,573,1995,Cuba,2222,10168400,21.85201212,23.11666667,-82.35,North America
584,584,1995,Grenada,1,1925,51.94805195,12.05,-61.75,North America
609,609,1995,Puerto Rico,289,2757071,10.48213847,18.46666667,-66.116667,North America
612,612,1995,Saint Lucia,10,50267,19.89376728,14.0,-61.0,North America
623,623,1995,Trinidad and Tobago,184,1132106,16.25289505,10.65,-61.516667,North America
636,636,1996,Bahamas,3,30549,9.820288716,25.08333333,-77.35,North America
647,647,1996,Cuba,2014,10241600,19.66489611,23.11666667,-82.35,North America
658,658,1996,Grenada,1,8361,11.96029183,12.05,-61.75,North America
684,684,1996,Puerto Rico,331,3100643,10.67520511,18.46666667,-66.116667,North America
687,687,1996,Saint Lucia,7,45481,15.39104241,14.0,-61.0,North America
700,700,1996,Trinidad and Tobago,146,1017675,14.3464269,10.65,-61.516667,North America
713,713,1997,Bahamas,2,56784,3.522118907,25.08333333,-77.35,North America
